dimension,gpus,time_per_iteration,total_time,Mflops,Iterations,total_cg_time
120,1,0.0271833,9.96338,4306.99,200,5.43665
120,2,0.0346592,9.42819,3377.98,200,6.93184
120,3,0.0424143,10.2422,2760.35,200,8.48285
120,4,0.0514482,11.788,2275.65,200,10.2896
120,5,0.0617783,14.071,1895.13,200,12.3557
160,1,0.0643837,24.136,4303.15,200,12.8767
160,2,0.0653954,19.1147,4236.58,200,13.0791
160,3,0.0736697,18.8271,3760.74,200,14.7339
160,4,0.0810337,19.6325,3418.98,200,16.2067
200,1,0.118686,47.4479,4554.65,200,23.7372
200,2,0.11832,35.0221,4568.74,200,23.6641
200,3,0.123349,32.8142,4382.46,200,24.6699
200,4,0.133473,33.0394,4050.06,200,26.6947
240,1,0.200585,80.6839,4653.81,200,40.1171
240,2,0.198633,59.7586,4699.54,200,39.7267
240,3,0.203397,55.3829,4589.47,200,40.6795
240,4,0.208817,52.9731,4470.35,200,41.7634
280,2,0.306942,95.4334,4827.07,200,61.3883
280,2,0.307098,95.7144,4824.61,200,61.4196
280,3,0.310374,85.9711,4773.69,200,62.0747
280,4,0.317246,81.1587,4670.28,200,63.4493
320,2,0.454263,145.438,4866.9,200,90.8525
320,3,0.456236,127.986,4845.84,200,91.2472
320,4,0.463789,119.187,4766.93,200,92.7578
360,3,0.643707,181.026,4888.85,200,128.741
360,4,0.649836,168.765,4842.74,200,129.967
400,3,0.880944,252.209,4899.16,200,176.189
400,4,0.884883,230.663,4877.36,200,176.977
40,1,0.00215038,0.470143,2048.31,133,0.286001
40,2,0.0154535,2.17837,285.025,133,2.05532
40,3,0.0263738,3.58317,167.017,132,3.48134
40,4,0.0367358,4.96969,119.907,132,4.84913
40,5,0.045932,9.30793,95.6796,200,9.18641
440,4,1.17585,306.865,3.15328e+13,200,235.171
480,4,1.51834,395.367,2.44201e+13,200,303.667
80,1,0.00873829,3.08535,3983.2,200,1.74766
80,2,0.0193883,4.62019,1795.23,200,3.87766
80,3,0.0284431,6.24962,1223.72,200,5.68862
80,4,0.0392739,8.36472,886.246,200,7.85479
80,5,0.0489501,10.3519,711.059,200,9.79002
